season,slot_id,winner_team_id,win_freq,n_sims
2026,R1W1,1181,0.9492,10000
2026,R1W8,1326,0.9582,10000
2026,R1W5,1385,0.9212,10000
2026,R1W4,1242,0.8392,10000
2026,R1W6,1257,0.8891,10000
2026,R1W3,1277,0.8627,10000
2026,R1W7,1417,0.8826,10000
2026,R1W2,1163,0.9536,10000
2026,R1X1,1196,0.946,10000
2026,R1X8,1155,0.666,10000
2026,R1X5,1435,0.9508,10000
2026,R1X4,1304,0.9692,10000
2026,R1X6,1314,0.6464,10000
2026,R1X3,1228,0.9599,10000
2026,R1X7,1388,0.643,10000
2026,R1X2,1222,0.9532,10000
2026,R1Y1,1276,0.9597,10000
2026,R1Y8,1208,0.7549,10000
2026,R1Y5,1403,0.9306,10000
2026,R1Y4,1104,0.9205,10000
2026,R1Y6,1397,0.9455,10000
2026,R1Y3,1438,0.9412,10000
2026,R1Y7,1365,0.5814,10000
2026,R1Y2,1235,0.934,10000
2026,R1Z1,1112,0.9607,10000
2026,R1Z8,1437,0.6322,10000
2026,R1Z5,1458,0.9602,10000
2026,R1Z4,1116,0.9514,10000
2026,R1Z6,1400,0.558,10000
2026,R1Z3,1211,0.9757,10000
2026,R1Z7,1274,0.6392,10000
2026,R1Z2,1345,0.9461,10000
2026,R2W1,1181,0.79,10000
2026,R2W4,1242,0.563,10000
2026,R2W3,1257,0.4866,10000
2026,R2W2,1163,0.6577,10000
2026,R2X1,1196,0.8372,10000
2026,R2X4,1435,0.6455,10000
2026,R2X3,1228,0.8916,10000
2026,R2X2,1222,0.8335,10000
2026,R2Y1,1276,0.89,10000
2026,R2Y4,1104,0.6608,10000
2026,R2Y3,1438,0.5368,10000
2026,R2Y2,1235,0.7542,10000
2026,R2Z1,1112,0.8764,10000
2026,R2Z4,1116,0.6119,10000
2026,R2Z3,1211,0.6253,10000
2026,R2Z2,1345,0.8724,10000
2026,R3W1,1181,0.7368,10000
2026,R3W2,1163,0.4172,10000
2026,R3X1,1196,0.6266,10000
2026,R3X2,1222,0.5934,10000
2026,R3Y1,1276,0.807,10000
2026,R3Y2,1235,0.5561,10000
2026,R3Z1,1112,0.7453,10000
2026,R3Z2,1345,0.7469,10000
2026,R4W1,1181,0.6715,10000
2026,R4X1,1196,0.3979,10000
2026,R4Y1,1276,0.6788,10000
2026,R4Z1,1112,0.5963,10000
2026,R5WX,1181,0.527,10000
2026,R5YZ,1276,0.5135,10000
2026,R6CH,1181,0.4047,10000
