Season,TeamID,CoachName,coach_appearances,coach_tourn_wins,coach_final_fours,coach_championships,coach_win_rate
1985,1102,reggie_minton,0,0,0,0,0.0
1985,1103,bob_huggins,0,0,0,0,0.0
1985,1104,wimp_sanderson,0,0,0,0,0.0
1985,1106,james_oliver,0,0,0,0,0.0
1985,1108,davey_whitney,0,0,0,0,0.0
1985,1109,freddie_goss,0,0,0,0,0.0
1985,1110,ed_tapscott,0,0,0,0,0.0
1985,1111,kevin_cantwell,0,0,0,0,0.0
1985,1112,lute_olson,0,0,0,0,0.0
1985,1113,bob_weinhauer,0,0,0,0,0.0
1985,1114,mike_newell,0,0,0,0,0.0
1985,1116,eddie_sutton,0,0,0,0,0.0
1985,1117,nelson_catalina,0,0,0,0,0.0
1985,1119,les_wothke,0,0,0,0,0.0
1985,1120,sonny_smith,0,0,0,0,0.0
1985,1121,marvin_vanover,0,0,0,0,0.0
1985,1122,howard_jackson,0,0,0,0,0.0
1985,1123,al_brown,0,0,0,0,0.0
1985,1124,jim_haller,0,0,0,0,0.0
1985,1126,cy_mcclairen,0,0,0,0,0.0
1985,1129,bobby_dye,0,0,0,0,0.0
1985,1130,gary_williams,0,0,0,0,0.0
1985,1131,john_kuester,0,0,0,0,0.0
1985,1132,john_weinert,0,0,0,0,0.0
1985,1133,dick_versace,0,0,0,0,0.0
1985,1134,mark_reiner,0,0,0,0,0.0
1985,1135,mike_cingiser,0,0,0,0,0.0
1985,1137,charles_woollum,0,0,0,0,0.0
1985,1139,joe_sexson,0,0,0,0,0.0
1985,1140,ladell_andersen,0,0,0,0,0.0
1985,1141,dick_parfitt,0,0,0,0,0.0
1985,1143,dick_kuchen,0,0,0,0,0.0
1985,1144,jerry_smith,0,0,0,0,0.0
1985,1145,nick_macarchuk,0,0,0,0,0.0
1985,1147,tommy_canterbury,0,0,0,0,0.0
1985,1149,tommy_gaither,0,0,0,0,0.0
1985,1150,hal_wissel,0,0,0,0,0.0
1985,1151,murray_arnold,0,0,0,0,0.0
1985,1152,bob_hallberg,0,0,0,0,0.0
1985,1153,tony_yates,0,0,0,0,0.0
1985,1154,les_robinson,0,0,0,0,0.0
1985,1155,cliff_ellis,0,0,0,0,0.0
1985,1156,kevin_mackey,0,0,0,0,0.0
1985,1159,tony_relvas,0,0,0,0,0.0
1985,1160,tom_apke,0,0,0,0,0.0
1985,1161,tony_mcandrews,0,0,0,0,0.0
1985,1162,wayne_szoke,0,0,0,0,0.0
1985,1163,dom_perno,0,0,0,0,0.0
1985,1165,tom_miller,0,0,0,0,0.0
1985,1166,willie_reed,0,0,0,0,0.0
1985,1168,george_mcquarn,0,0,0,0,0.0
1985,1171,paul_cormier,0,0,0,0,0.0
1985,1172,bobby_hussey,0,0,0,0,0.0
1985,1173,don_donoher,0,0,0,0,0.0
1985,1174,ron_rainey,0,0,0,0,0.0
1985,1175,joe_dean_davidson,0,0,0,0,0.0
1985,1177,joey_meyer,0,0,0,0,0.0
1985,1178,don_sicko,0,0,0,0,0.0
1985,1179,gary_garner,0,0,0,0,0.0
1985,1180,eddie_burke,0,0,0,0,0.0
1985,1181,mike_krzyzewski,0,0,0,0,0.0
1985,1182,jim_satalin,0,0,0,0,0.0
1985,1183,rick_samuels,0,0,0,0,0.0
1985,1184,max_good,0,0,0,0,0.0
1985,1185,jim_boyce,0,0,0,0,0.0
1985,1186,jerry_krause,0,0,0,0,0.0
1985,1187,charlie_harrison,0,0,0,0,0.0
1985,1190,barry_dowd,0,0,0,0,0.0
1985,1191,dick_walters,0,0,0,0,0.0
1985,1192,tom_green,0,0,0,0,0.0
1985,1193,terry_o'connor,0,0,0,0,0.0
1985,1196,norm_sloan,0,0,0,0,0.0
1985,1197,willie_booker,0,0,0,0,0.0
1985,1199,joe_williams,0,0,0,0,0.0
1985,1200,thomas_penders,0,0,0,0,0.0
1985,1201,tiny_grant,0,0,0,0,0.0
1985,1202,jene_davis,0,0,0,0,0.0
1985,1203,gerry_gimelstob,0,0,0,0,0.0
1985,1204,frank_kerns,0,0,0,0,0.0
1985,1206,joe_harrington,0,0,0,0,0.0
1985,1207,john_thompson_jr,0,0,0,0,0.0
1985,1208,hugh_durham,0,0,0,0,0.0
1985,1209,mark_slonaker,0,0,0,0,0.0
1985,1210,bobby_cremins,0,0,0,0,0.0
1985,1211,jay_hillock,0,0,0,0,0.0
1985,1212,fred_hobdy,0,0,0,0,0.0
1985,1215,dick_danford,0,0,0,0,0.0
1985,1216,jack_phelan,0,0,0,0,0.0
1985,1217,frank_mclaughlin,0,0,0,0,0.0
1985,1218,larry_little,0,0,0,0,0.0
1985,1220,dick_berg,0,0,0,0,0.0
1985,1221,george_blaney,0,0,0,0,0.0
1985,1222,guy_lewis,0,0,0,0,0.0
1985,1223,gene_iba,0,0,0,0,0.0
1985,1224,a_b_williamson,0,0,0,0,0.0
1985,1225,bill_trumbo,0,0,0,0,0.0
1985,1226,wayne_ballard,0,0,0,0,0.0
1985,1227,willie_little,0,0,0,0,0.0
1985,1228,lou_henson,0,0,0,0,0.0
1985,1229,bob_donewald,0,0,0,0,0.0
1985,1231,bob_knight,0,0,0,0,0.0
1985,1232,dave_schellhase,0,0,0,0,0.0
1985,1233,pat_kennedy,0,0,0,0,0.0
1985,1234,george_raveling,0,0,0,0,0.0
1985,1235,johnny_orr,0,0,0,0,0.0
1985,1238,paul_covington,0,0,0,0,0.0
1985,1239,bob_wenzel,0,0,0,0,0.0
1985,1241,lou_campanelli,0,0,0,0,0.0
1985,1242,larry_brown,0,0,0,0,0.0
1985,1243,jack_hartman,0,0,0,0,0.0
1985,1245,jim_mcdonald,0,0,0,0,0.0
1985,1246,joe_b_hall,0,0,0,0,0.0
1985,1247,lefty_ervin,0,0,0,0,0.0
1985,1248,butch_van_breda_kolff,0,0,0,0,0.0
1985,1249,pat_foster,0,0,0,0,0.0
1985,1250,tom_schneider,0,0,0,0,0.0
1985,1253,ron_palmer,0,0,0,0,0.0
1985,1254,paul_lizzo,0,0,0,0,0.0
1985,1256,andy_russo,0,0,0,0,0.0
1985,1257,denny_crum,0,0,0,0,0.0
1985,1258,ed_goorjian,0,0,0,0,0.0
1985,1259,mark_amatucci,0,0,0,0,0.0
1985,1260,gene_sullivan,0,0,0,0,0.0
1985,1261,dale_brown,0,0,0,0,0.0
1985,1263,skip_chappelle,0,0,0,0,0.0
1985,1264,gordon_chiesa,0,0,0,0,0.0
1985,1265,matt_furjanic,0,0,0,0,0.0
1985,1266,rick_majerus,0,0,0,0,0.0
1985,1267,rick_huckabay,0,0,0,0,0.0
1985,1268,lefty_driesell,0,0,0,0,0.0
1985,1269,ron_gerlufsen,0,0,0,0,0.0
1985,1270,glenn_duhon,0,0,0,0,0.0
1985,1271,howie_evans,0,0,0,0,0.0
1985,1272,dana_kirk,0,0,0,0,0.0
1985,1273,bill_bibb,0,0,0,0,0.0
1985,1275,jerry_peirson,0,0,0,0,0.0
1985,1276,bill_frieder,0,0,0,0,0.0
1985,1277,jud_heathcote,0,0,0,0,0.0
1985,1278,jim_dutcher,0,0,0,0,0.0
1985,1279,lee_hunt,0,0,0,0,0.0
1985,1280,bob_boyd,0,0,0,0,0.0
1985,1281,norm_stewart,0,0,0,0,0.0
1985,1283,charles_spoonhour,0,0,0,0,0.0
1985,1284,ron_kornegay,0,0,0,0,0.0
